メロス	メロス	0	0	Melos	米洛斯	Мелос
は	は	0	0	It is	这是	Здесь
激怒	激怒	1	0	loose the temper	愤怒	ярость
し	する	0	0	Make	使	сделать
た	た	0	0	It was	这是	было
。	。	0	1	.	。	,
必ず	必ず	0	0	you have to	当然	конечно
、	、	0	0	,	，	,
かの	かの	0	0	Kano	卡诺	Кано
邪智	邪智	0	0	Jachi	Jachi	Jachi
暴虐	暴虐	0	0	Atrocity	暴行	зверство
の	の	0	0	of	的	из
王	王	1	0	king	国王	король
を	を	0	0	The	该	
除か	除く	0	0	except	除	за исключением
なけれ	ない	0	0	Absent	没有	Не имею
ば	ば	0	0	Place	地方	место
なら	なる	0	0	Become	变	становится
ぬ	ぬ	0	0	Unexpected	意外	непредвиденный
と	と	0	0	When	和	и
決意	決意	1	0	Determination	决心	определение
し	する	0	0	Make	使	сделать
た	た	0	0	It was	这是	было
。	。	0	1	.	。	,
メロス	メロス	0	0	Melos	米洛斯	Мелос
に	に	0	0	To	至	к
は	は	0	0	It is	这是	Здесь
政治	政治	0	0	Politics	政治	политика
が	が	0	0	But	那里	Там
わから	わかる	1	0	Understand	认	признать
ぬ	ぬ	0	0	Unexpected	意外	непредвиденный
。	。	0	1	.	。	,
メロス	メロス	0	0	Melos	米洛斯	Мелос
は	は	0	0	It is	这是	Здесь
、	、	0	0	,	，	,
村	村	1	0	village	村	деревня
の	の	0	0	of	的	из
牧人	牧人	0	0	Shepherd	牧羊人	пастух
で	だ	0	0	I	我	Я
ある	ある	0	0	is there	一些	некоторые
。	。	0	1	.	。	,
笛	笛	0	0	Whistle	哨子	свистеть
を	を	0	0	The	该	
吹き	吹く	1	0	Blow	打击	удар
、	、	0	0	,	，	,
羊	羊	0	0	sheep	羊	овца
と	と	0	0	When	和	и
遊ん	遊ぶ	1	0	play	玩	играть
で	で	0	0	so	在	в
暮し	暮す	0	0	Live	直播	Живая
て	て	0	0	On	上	на
来	来る	0	0	come	来	прийти
た	た	0	0	It was	这是	было
。	。	0	1	.	。	,
けれども	けれども	0	0	But	但	но
邪悪	邪悪	0	0	evil	邪恶	зло
に対して	に対して	0	0	Against	针对	против
は	は	0	0	It is	这是	Здесь
、	、	0	0	,	，	,
人一倍	人一倍	0	0	More than others	比别人多	Больше, чем другие
に	に	0	0	To	至	к
敏感	敏感	1	0	sensitive	敏感	чуткий
で	だ	0	0	I	我	Я
あっ	ある	0	0	is there	一些	некоторые
た	た	0	0	It was	这是	было
。	。	0	1	.	。	,
きょう	きょう	0	0	Today	今天	сегодня
未明	未明	0	0	Wee hours of the morning	早晨的凌晨	Ви часов утра
メロス	メロス	0	0	Melos	米洛斯	Мелос
は	は	0	0	It is	这是	Здесь
村	村	0	0	village	村	деревня
を	を	0	0	The	该	
出発	出発	1	0	Departure	开始	начало
し	する	0	0	Make	使	сделать
、	、	0	0	,	，	,
野	野	0	0	field	场	поле
を	を	0	0	The	该	
越え	越える	0	0	Greater than	大于	Более
山越え	山越え	0	0	It crosses mountains	它穿过山	Она пересекает горы
、	、	0	0	,	，	,
十	十	0	0	Ten	十	десять
里	里	0	0	Village	村	деревня
はなれた	はなれた	1	0	Away	远	прочь
此	此	0	0	此	此	此
の	の	0	0	of	的	из
