ある	ある	0	0	is there	一些	некоторые
日	日	1	0	Day	天	день
の	の	0	0	of	的	из
事	事	0	0	Thing	事	вещь
で	だ	0	0	I	我	Я
ござい	ござる	0	0	A bamboo basket	竹筐	Бамбуковая корзина
ます	ます	0	0	You	您	вы
。	。	0	1	.	。	,
御	御	0	0	Your	你的	ваш
釈迦	釈迦	0	0	Buddha	佛	Будда
様	様	0	0	Mr	像	как
は	は	0	0	It is	这是	Здесь
極楽	極楽	0	0	Paradise	天堂	рай
の	の	0	0	of	的	из
蓮池	蓮池	0	0	Hasuike	莲池	Hasuike
の	の	0	0	of	的	из
ふち	ふち	1	0	Brink	边缘	Brink
を	を	0	0	The	该
、	、	0	0	,	，	,
独り	独り	1	0	alone	独	один
で	で	0	0	so	在	в
ぶらぶら	ぶらぶら	0	0	Aimlessly	等闲	Бесцельно
御	御	0	0	Your	你的	ваш
歩き	歩き	1	0	Walking	步行	ходьба
に	に	0	0	To	至	к
なっ	なる	0	0	Become	变	становится
て	て	0	0	On	上	на
いらっしゃい	いらっしゃる	0	0	Come	来	прийти
まし	ます	0	0	You	您	вы
た	た	0	0	It was	这是	было
。	。	0	1	.	。	,
池	池	1	0	pond	池塘	пруд
の	の	0	0	of	的	из
中	中	0	0	During ~	中	среда
に	に	0	0	To	至	к
咲い	咲く	1	0	bloom	盛开	цветение
て	て	0	0	On	上	на
いる	いる	0	0	Roast	烤	обжиг
蓮	蓮	0	0	lotus	莲花	лотос
の	の	0	0	of	的	из
花	花	0	0	flower	花	цветок
は	は	0	0	It is	这是	Здесь
、	、	0	0	,	，	,
みんな	みんな	0	0	Everyone	明娜	Минна
玉	玉	0	0	ball	球	мяч
の	の	0	0	of	的	из
よう	よう	0	0	Yo	呦	Yo
に	に	0	0	To	至	к
まっ白	まっ白	0	0	Pure white	皑皑	Чистый белый
で	で	0	0	so	在	в
、	、	0	0	,	，	,
その	その	0	0	That	该
まん中	まん中	0	0	The middle	中间	середина
に	に	0	0	To	至	к
ある	ある	0	0	is there	一些	некоторые
金色	金色	0	0	Gold	金	золото
の	の	0	0	of	的	из
蕊	蕊	0	0	Stamens	雄蕊	Тычинок
から	から	0	0	From	从	из
は	は	0	0	It is	这是	Здесь
、	、	0	0	,	，	,
何とも	何とも	0	0	Indescribably	别提	Непередаваемо
